,stature,weightkg,waistcircumference,buttockcircumference,size,color
0,1560,657,850,1011,large,cornflowerblue
1,1665,534,708,893,small,slategrey
2,1711,663,727,987,medium,lightsteelblue
3,1660,782,923,1012,xl,royalblue
4,1572,886,1163,1281,xxxxl,red
5,1707,837,968,1085,xl,royalblue
6,1644,732,964,1049,xl,royalblue
7,1671,760,914,1095,xl,royalblue
8,1521,545,755,965,medium,lightsteelblue
9,1590,684,944,1045,xl,royalblue
10,1707,990,935,1248,xxl,blue
11,1668,742,942,1014,xl,royalblue
12,1654,781,995,1049,xl,royalblue
13,1666,718,848,1012,large,cornflowerblue
14,1599,709,929,1000,xl,royalblue
15,1673,672,835,1007,large,cornflowerblue
16,1647,620,772,969,medium,lightsteelblue
17,1678,595,805,941,large,cornflowerblue
18,1679,741,868,1011,large,cornflowerblue
19,1615,605,792,1021,medium,lightsteelblue
20,1517,800,1137,1107,xxxxl,red
21,1674,747,881,1050,xl,royalblue
22,1623,491,702,867,small,slategrey
23,1668,703,954,1038,xl,royalblue
24,1644,715,796,981,medium,lightsteelblue
25,1579,708,1000,1069,xl,royalblue
26,1446,488,742,917,medium,lightsteelblue
27,1620,691,912,997,xl,royalblue
28,1684,730,913,1042,xl,royalblue
29,1619,610,821,960,large,cornflowerblue
30,1592,658,930,1056,xl,royalblue
31,1655,709,901,1035,xl,royalblue
32,1723,728,935,1034,xl,royalblue
33,1677,846,1077,1154,xxl,blue
34,1654,945,1112,1184,xxl,blue
35,1634,627,812,991,large,cornflowerblue
36,1683,578,869,933,large,cornflowerblue
37,1552,524,712,900,small,slategrey
38,1617,732,1057,1052,xxl,blue
39,1588,791,964,1086,xl,royalblue
40,1641,894,1134,1175,xxxxl,red
41,1685,689,869,979,large,cornflowerblue
42,1656,758,942,1021,xl,royalblue
43,1603,731,1019,1041,xxl,blue
44,1608,748,865,1136,xl,royalblue
45,1664,806,975,1046,xl,royalblue
46,1619,714,814,1030,large,cornflowerblue
47,1620,712,947,1053,xl,royalblue
48,1720,657,794,1009,medium,lightsteelblue
49,1582,477,679,880,small,slategrey
50,1720,696,890,1050,xl,royalblue
51,1720,1196,1334,1306,xxxxl,red
52,1701,887,1076,1160,xxl,blue
53,1627,754,1007,1075,xxl,blue
54,1536,678,897,1044,xl,royalblue
55,1546,607,832,1006,large,cornflowerblue
56,1654,572,766,981,medium,lightsteelblue
57,1605,689,878,1028,large,cornflowerblue
58,1630,712,943,1055,xl,royalblue
59,1612,604,825,979,large,cornflowerblue
60,1757,697,812,985,large,cornflowerblue
61,1670,854,1062,1167,xxl,blue
62,1632,617,914,1051,xl,royalblue
63,1635,790,987,1066,xl,royalblue
64,1682,672,868,1007,large,cornflowerblue
65,1661,695,839,1050,large,cornflowerblue
66,1596,669,814,974,large,cornflowerblue
67,1596,574,804,989,large,cornflowerblue
68,1665,815,925,1088,xl,royalblue
69,1617,618,805,993,large,cornflowerblue
70,1555,645,811,1042,large,cornflowerblue
71,1578,557,757,969,medium,lightsteelblue
72,1581,614,839,967,large,cornflowerblue
73,1698,668,821,1051,large,cornflowerblue
74,1554,730,1001,1028,xxl,blue
75,1756,737,860,1045,large,cornflowerblue
76,1566,693,922,1016,xl,royalblue
77,1651,757,1012,1057,xxl,blue
78,1585,740,981,1049,xl,royalblue
79,1657,682,870,1030,large,cornflowerblue
80,1719,867,931,1200,xl,royalblue
81,1822,882,895,1165,xl,royalblue
82,1649,786,925,1141,xl,royalblue
83,1687,622,751,985,medium,lightsteelblue
84,1698,782,1019,1115,xxl,blue
85,1530,608,784,1060,large,cornflowerblue
86,1581,674,917,1023,xl,royalblue
87,1609,686,865,1032,large,cornflowerblue
88,1644,670,847,1015,large,cornflowerblue
89,1548,635,785,1011,medium,lightsteelblue
90,1606,773,1004,1084,xxl,blue
91,1642,555,759,945,medium,lightsteelblue
92,1622,727,955,1104,xl,royalblue
93,1669,593,694,947,small,slategrey
94,1745,998,1068,1205,xxl,blue
95,1495,581,948,999,xl,royalblue
96,1493,642,912,1045,xl,royalblue
97,1641,758,989,1027,xl,royalblue
98,1607,683,887,1051,xl,royalblue
99,1560,471,698,871,small,slategrey
100,1625,665,822,975,large,cornflowerblue
101,1670,685,885,1027,xl,royalblue
102,1616,579,764,947,medium,lightsteelblue
103,1582,647,943,966,xl,royalblue
104,1730,591,809,951,large,cornflowerblue
105,1501,450,739,874,medium,lightsteelblue
106,1515,572,826,960,large,cornflowerblue
107,1576,721,962,1030,xl,royalblue
108,1628,676,849,1029,large,cornflowerblue
109,1586,711,951,1048,xl,royalblue
110,1737,791,889,1083,xl,royalblue
111,1576,536,790,974,medium,lightsteelblue
112,1626,639,811,966,large,cornflowerblue
113,1604,628,831,991,large,cornflowerblue
114,1673,788,958,1069,xl,royalblue
115,1642,598,761,955,medium,lightsteelblue
116,1538,752,1070,1079,xxl,blue
117,1574,686,923,1005,xl,royalblue
118,1637,668,949,1055,xl,royalblue
119,1620,613,858,976,large,cornflowerblue
120,1733,742,859,1041,large,cornflowerblue
121,1526,522,721,876,medium,lightsteelblue
122,1732,767,908,1069,xl,royalblue
123,1624,661,880,1030,large,cornflowerblue
124,1507,505,759,902,medium,lightsteelblue
125,1560,637,919,1033,xl,royalblue
126,1640,666,908,980,xl,royalblue
127,1675,610,731,965,medium,lightsteelblue
128,1526,581,820,975,large,cornflowerblue
129,1623,609,821,932,large,cornflowerblue
130,1584,575,740,1054,large,cornflowerblue
131,1671,797,1024,1100,xxl,blue
132,1552,745,932,1090,xl,royalblue
133,1633,614,827,981,large,cornflowerblue
134,1530,677,896,1061,xl,royalblue
135,1606,508,738,968,medium,lightsteelblue
136,1617,633,832,1033,large,cornflowerblue
137,1645,711,851,1042,large,cornflowerblue
138,1681,727,859,1049,large,cornflowerblue
139,1655,679,906,1050,xl,royalblue
140,1626,833,1028,1136,xxl,blue
141,1635,622,786,990,medium,lightsteelblue
142,1572,616,853,966,large,cornflowerblue
143,1608,573,745,950,medium,lightsteelblue
144,1662,507,737,925,medium,lightsteelblue
145,1582,611,802,998,large,cornflowerblue
146,1701,866,1045,1114,xxl,blue
147,1602,523,763,925,medium,lightsteelblue
148,1549,676,955,1090,xl,royalblue
149,1561,549,719,920,small,slategrey
150,1677,571,746,935,medium,lightsteelblue
151,1594,644,874,1035,large,cornflowerblue
152,1628,649,772,1018,medium,lightsteelblue
153,1549,592,802,972,large,cornflowerblue
154,1559,563,719,974,medium,lightsteelblue
155,1619,580,862,955,large,cornflowerblue
156,1690,810,1044,1088,xxl,blue
157,1698,649,817,1001,large,cornflowerblue
158,1705,654,817,997,large,cornflowerblue
159,1625,570,816,955,large,cornflowerblue
160,1666,805,939,1139,xl,royalblue
161,1559,671,863,1035,large,cornflowerblue
162,1595,673,915,1064,xl,royalblue
163,1634,550,764,932,medium,lightsteelblue
164,1643,708,899,1068,xl,royalblue
165,1667,538,782,933,medium,lightsteelblue
166,1661,771,897,1051,xl,royalblue
167,1560,602,817,1008,large,cornflowerblue
168,1610,719,900,1062,xl,royalblue
169,1610,617,830,1009,large,cornflowerblue
170,1682,761,947,1062,xl,royalblue
171,1604,739,958,1050,xl,royalblue
172,1540,560,767,981,medium,lightsteelblue
173,1638,647,777,948,medium,lightsteelblue
174,1656,724,896,1081,xl,royalblue
175,1597,708,968,992,xl,royalblue
176,1749,953,997,1101,xl,royalblue
177,1661,748,879,1058,large,cornflowerblue
178,1526,700,1000,1030,xl,royalblue
179,1583,655,931,1078,xl,royalblue
180,1533,499,748,916,medium,lightsteelblue
181,1575,553,734,940,medium,lightsteelblue
182,1776,924,1021,1171,xxl,blue
183,1713,716,874,1016,large,cornflowerblue
184,1653,676,803,992,large,cornflowerblue
185,1516,641,935,1017,xl,royalblue
186,1658,666,810,983,large,cornflowerblue
187,1617,663,882,1021,xl,royalblue
188,1687,763,920,1084,xl,royalblue
189,1603,717,1085,1099,xxl,blue
190,1539,643,923,1003,xl,royalblue
191,1603,591,840,973,large,cornflowerblue
192,1620,529,783,920,medium,lightsteelblue
193,1617,694,924,1076,xl,royalblue
194,1600,699,972,1040,xl,royalblue
195,1572,592,774,981,medium,lightsteelblue
196,1632,540,708,926,small,slategrey
197,1690,701,879,1092,large,cornflowerblue
198,1682,681,830,1010,large,cornflowerblue
199,1657,864,980,1150,xl,royalblue
200,1672,672,883,1010,xl,royalblue
201,1621,559,754,933,medium,lightsteelblue
202,1623,566,767,956,medium,lightsteelblue
203,1633,585,868,958,large,cornflowerblue
204,1526,628,938,979,xl,royalblue
205,1570,467,682,836,small,slategrey
206,1616,599,762,978,medium,lightsteelblue
207,1690,642,802,1020,large,cornflowerblue
208,1637,813,1060,1144,xxl,blue
209,1718,719,922,1060,xl,royalblue
210,1588,548,783,974,medium,lightsteelblue
211,1520,485,707,877,small,slategrey
212,1618,658,795,1061,large,cornflowerblue
213,1631,753,862,1059,large,cornflowerblue
214,1642,636,929,974,xl,royalblue
215,1719,752,858,1056,large,cornflowerblue
216,1715,755,784,1067,large,cornflowerblue
217,1653,469,632,832,xs,asd
218,1590,537,809,951,large,cornflowerblue
219,1751,758,912,1071,xl,royalblue
220,1583,679,941,1079,xl,royalblue
221,1627,684,854,1055,large,cornflowerblue
222,1586,677,885,1004,xl,royalblue
223,1675,617,783,957,medium,lightsteelblue
224,1606,717,927,1045,xl,royalblue
225,1680,642,785,991,medium,lightsteelblue
226,1773,740,858,1031,large,cornflowerblue
227,1680,792,958,1015,xl,royalblue
228,1645,581,707,946,small,slategrey
229,1558,727,1004,1037,xxl,blue
230,1665,704,905,1055,xl,royalblue
231,1601,653,989,1002,xl,royalblue
232,1658,725,906,1066,xl,royalblue
233,1623,721,854,1065,large,cornflowerblue
234,1661,561,738,932,medium,lightsteelblue
235,1563,583,784,919,medium,lightsteelblue
236,1630,677,871,989,large,cornflowerblue
237,1528,576,811,965,large,cornflowerblue
238,1653,559,728,923,medium,lightsteelblue
239,1512,468,763,867,medium,lightsteelblue
240,1629,567,793,950,medium,lightsteelblue
241,1675,820,1001,1093,xxl,blue
242,1498,664,922,1054,xl,royalblue
243,1538,626,829,1019,large,cornflowerblue
244,1567,653,850,1057,large,cornflowerblue
245,1590,539,731,917,medium,lightsteelblue
246,1573,750,996,1042,xl,royalblue
247,1595,704,871,1091,large,cornflowerblue
248,1610,675,1036,1008,xxl,blue
249,1565,640,835,1021,large,cornflowerblue
250,1523,470,665,884,small,slategrey
251,1570,502,671,920,small,slategrey
252,1556,597,769,977,medium,lightsteelblue
253,1599,646,850,964,large,cornflowerblue
254,1611,726,936,1051,xl,royalblue
255,1681,631,758,965,medium,lightsteelblue
256,1585,631,888,1014,xl,royalblue
257,1614,660,941,1022,xl,royalblue
258,1674,789,812,1159,xl,royalblue
259,1653,531,704,910,small,slategrey
260,1593,708,1027,1057,xxl,blue
261,1592,625,885,969,xl,royalblue
262,1617,680,872,1021,large,cornflowerblue
263,1589,734,1041,1126,xxl,blue
264,1597,688,859,1023,large,cornflowerblue
265,1698,840,1022,1115,xxl,blue
266,1619,647,790,1013,medium,lightsteelblue
267,1663,561,711,914,small,slategrey
268,1606,735,941,1077,xl,royalblue
269,1609,733,1076,1108,xxl,blue
270,1696,605,797,983,medium,lightsteelblue
271,1723,722,904,1063,xl,royalblue
272,1748,908,979,1135,xl,royalblue
273,1695,760,888,1114,xl,royalblue
274,1648,606,769,969,medium,lightsteelblue
275,1579,573,807,985,large,cornflowerblue
276,1587,602,839,978,large,cornflowerblue
277,1604,669,975,1063,xl,royalblue
278,1603,829,1127,1131,xxxxl,red
279,1712,765,930,1115,xl,royalblue
280,1628,671,907,1006,xl,royalblue
281,1520,589,919,1004,xl,royalblue
282,1640,615,839,1007,large,cornflowerblue
283,1616,529,697,934,small,slategrey
284,1684,847,1088,1158,xxl,blue
285,1649,596,805,971,large,cornflowerblue
286,1677,666,844,1018,large,cornflowerblue
287,1653,676,915,1011,xl,royalblue
288,1638,658,862,1046,large,cornflowerblue
289,1646,596,835,1035,large,cornflowerblue
290,1619,735,1000,1079,xl,royalblue
291,1530,556,789,997,medium,lightsteelblue
292,1603,561,777,975,medium,lightsteelblue
293,1680,560,796,925,medium,lightsteelblue
294,1602,871,1017,1142,xxl,blue
295,1447,736,1074,1152,xxl,blue
296,1627,613,688,921,small,slategrey
297,1594,505,713,921,small,slategrey
298,1688,823,1035,1092,xxl,blue
299,1547,561,827,942,large,cornflowerblue
300,1621,754,950,1082,xl,royalblue
301,1625,593,805,1006,large,cornflowerblue
302,1597,695,896,1020,xl,royalblue
303,1602,820,905,1118,xl,royalblue
304,1614,583,833,943,large,cornflowerblue
305,1743,920,1055,1206,xxl,blue
306,1603,841,1071,1146,xxl,blue
307,1576,842,1111,1176,xxl,blue
308,1619,660,871,1022,large,cornflowerblue
309,1754,896,969,1151,xl,royalblue
310,1709,842,942,1079,xl,royalblue
311,1789,845,964,1117,xl,royalblue
312,1587,596,887,1005,xl,royalblue
313,1687,688,838,1037,large,cornflowerblue
314,1665,690,826,1081,large,cornflowerblue
315,1573,748,950,1087,xl,royalblue
316,1654,699,819,1038,large,cornflowerblue
317,1582,691,920,999,xl,royalblue
318,1575,566,744,977,medium,lightsteelblue
319,1600,699,880,1026,large,cornflowerblue
320,1584,468,740,868,medium,lightsteelblue
321,1535,701,829,1121,xl,royalblue
322,1593,832,1029,1100,xxl,blue
323,1583,789,973,1104,xl,royalblue
324,1608,592,845,955,large,cornflowerblue
325,1663,583,828,961,large,cornflowerblue
326,1609,746,1020,1113,xxl,blue
327,1513,428,675,871,small,slategrey
328,1704,853,1007,1140,xxl,blue
329,1708,664,858,997,large,cornflowerblue
330,1506,577,804,973,large,cornflowerblue
331,1583,565,811,944,large,cornflowerblue
332,1731,714,864,1030,large,cornflowerblue
333,1669,762,871,1036,large,cornflowerblue
334,1640,556,824,933,large,cornflowerblue
335,1613,561,724,909,medium,lightsteelblue
336,1640,641,849,988,large,cornflowerblue
337,1581,766,918,1050,xl,royalblue
338,1664,702,829,987,large,cornflowerblue
339,1562,561,799,966,medium,lightsteelblue
340,1722,812,1017,1101,xxl,blue
341,1564,725,900,1073,xl,royalblue
342,1589,686,917,1039,xl,royalblue
343,1789,924,970,1165,xl,royalblue
344,1608,662,884,944,xl,royalblue
345,1595,562,796,973,medium,lightsteelblue
346,1590,564,785,938,medium,lightsteelblue
347,1575,653,870,985,large,cornflowerblue
348,1539,679,905,1083,xl,royalblue
349,1654,777,958,1100,xl,royalblue
350,1616,632,855,1021,large,cornflowerblue
351,1646,697,869,1010,large,cornflowerblue
352,1548,681,875,1064,large,cornflowerblue
353,1617,570,722,985,medium,lightsteelblue
354,1527,742,1034,1089,xxl,blue
355,1653,589,757,908,medium,lightsteelblue
356,1606,750,995,1035,xl,royalblue
357,1700,744,812,1029,large,cornflowerblue
358,1672,815,954,1119,xl,royalblue
359,1728,765,928,1039,xl,royalblue
360,1677,827,1049,1082,xxl,blue
361,1790,793,958,1064,xl,royalblue
362,1643,735,912,1084,xl,royalblue
363,1584,620,822,989,large,cornflowerblue
364,1583,659,935,1004,xl,royalblue
365,1640,705,957,1037,xl,royalblue
366,1562,493,707,911,small,slategrey
367,1650,643,771,1001,medium,lightsteelblue
368,1656,654,806,1009,large,cornflowerblue
369,1624,655,1002,998,xxl,blue
370,1631,856,1044,1138,xxl,blue
371,1715,632,815,975,large,cornflowerblue
372,1607,648,752,1048,large,cornflowerblue
373,1600,604,831,941,large,cornflowerblue
374,1571,702,880,1099,large,cornflowerblue
375,1603,659,817,1062,large,cornflowerblue
376,1599,771,938,1075,xl,royalblue
377,1602,524,797,964,medium,lightsteelblue
378,1642,685,773,1036,medium,lightsteelblue
379,1715,1017,1103,1237,xxl,blue
380,1634,487,679,883,small,slategrey
381,1657,824,1055,1184,xxl,blue
382,1626,724,856,1000,large,cornflowerblue
383,1536,617,868,967,large,cornflowerblue
384,1698,696,818,1068,large,cornflowerblue
385,1652,753,846,1047,large,cornflowerblue
386,1611,785,1032,1148,xxl,blue
387,1764,812,911,1128,xl,royalblue
388,1586,485,650,912,small,slategrey
389,1592,595,804,991,large,cornflowerblue
390,1782,740,880,1034,large,cornflowerblue
391,1708,799,970,1063,xl,royalblue
392,1650,645,841,986,large,cornflowerblue
393,1612,725,949,1101,xl,royalblue
394,1660,600,766,960,medium,lightsteelblue
395,1629,630,811,994,large,cornflowerblue
396,1630,762,978,1047,xl,royalblue
397,1743,696,738,1024,medium,lightsteelblue
398,1688,818,1001,1067,xxl,blue
399,1580,508,705,888,small,slategrey
400,1610,665,901,985,xl,royalblue
401,1556,400,620,832,xs,asd
402,1585,736,1000,1081,xl,royalblue
403,1685,770,952,1034,xl,royalblue
404,1592,630,823,999,large,cornflowerblue
405,1698,761,919,1076,xl,royalblue
406,1648,690,886,1051,xl,royalblue
407,1575,573,791,950,medium,lightsteelblue
408,1602,617,794,983,medium,lightsteelblue
409,1669,663,822,1025,large,cornflowerblue
410,1637,850,996,1128,xl,royalblue
411,1690,601,798,962,medium,lightsteelblue
412,1664,655,795,1039,medium,lightsteelblue
413,1710,716,940,1050,xl,royalblue
414,1596,611,716,973,medium,lightsteelblue
415,1656,1000,1164,1250,xxxxl,red
416,1586,791,870,1147,xl,royalblue
417,1653,676,886,1041,xl,royalblue
418,1661,740,831,1046,large,cornflowerblue
419,1495,501,749,904,medium,lightsteelblue
420,1633,587,811,970,large,cornflowerblue
421,1652,696,850,1070,large,cornflowerblue
422,1596,599,779,1030,medium,lightsteelblue
423,1715,809,1009,1076,xxl,blue
424,1724,788,939,1080,xl,royalblue
425,1741,797,907,1137,xl,royalblue
426,1707,746,851,1105,large,cornflowerblue
427,1684,740,917,1100,xl,royalblue
428,1586,569,780,936,medium,lightsteelblue
429,1611,829,1046,1114,xxl,blue
430,1658,770,939,1038,xl,royalblue
431,1673,751,909,1108,xl,royalblue
432,1770,889,1076,1171,xxl,blue
433,1574,661,799,1040,large,cornflowerblue
434,1715,842,1009,1151,xxl,blue
435,1525,558,865,986,large,cornflowerblue
436,1650,983,1154,1195,xxxxl,red
437,1537,535,814,955,large,cornflowerblue
438,1568,581,801,973,large,cornflowerblue
439,1569,684,830,1004,large,cornflowerblue
440,1711,725,807,1036,large,cornflowerblue
441,1639,757,1073,1060,xxl,blue
442,1638,733,946,1075,xl,royalblue
443,1756,704,845,1053,large,cornflowerblue
444,1618,590,748,966,medium,lightsteelblue
445,1745,835,1003,1114,xxl,blue
446,1569,635,814,1043,large,cornflowerblue
447,1668,546,782,925,medium,lightsteelblue
448,1619,610,780,990,medium,lightsteelblue
449,1657,820,1016,1103,xxl,blue
450,1628,685,847,1017,large,cornflowerblue
451,1660,574,803,945,large,cornflowerblue
452,1683,616,733,953,medium,lightsteelblue
453,1672,678,866,1017,large,cornflowerblue
454,1623,558,745,937,medium,lightsteelblue
455,1672,588,705,917,small,slategrey
456,1619,591,784,984,medium,lightsteelblue
457,1558,511,712,948,small,slategrey
458,1649,591,742,951,medium,lightsteelblue
459,1730,671,805,1022,large,cornflowerblue
460,1527,522,730,917,medium,lightsteelblue
461,1670,565,761,940,medium,lightsteelblue
462,1583,774,1000,1084,xl,royalblue
463,1643,730,885,1038,xl,royalblue
464,1717,669,800,1020,medium,lightsteelblue
465,1623,718,945,1098,xl,royalblue
466,1630,594,810,964,large,cornflowerblue
467,1710,680,808,995,large,cornflowerblue
468,1730,779,961,1102,xl,royalblue
469,1725,695,772,1044,large,cornflowerblue
470,1680,755,928,1075,xl,royalblue
471,1682,645,889,1011,xl,royalblue
472,1680,843,1050,1045,xxl,blue
473,1829,688,777,997,medium,lightsteelblue
474,1675,643,866,1012,large,cornflowerblue
475,1727,689,842,1006,large,cornflowerblue
476,1615,651,842,956,large,cornflowerblue
477,1497,460,690,850,small,slategrey
478,1613,610,750,1037,medium,lightsteelblue
479,1771,925,950,1137,xl,royalblue
480,1588,666,829,1010,large,cornflowerblue
481,1736,821,995,1075,xl,royalblue
482,1664,591,767,1014,medium,lightsteelblue
483,1584,722,898,1086,xl,royalblue
484,1712,770,940,1097,xl,royalblue
485,1658,617,787,978,medium,lightsteelblue
486,1646,685,812,1056,large,cornflowerblue
487,1723,689,820,1026,large,cornflowerblue
488,1578,587,813,1002,large,cornflowerblue
489,1671,742,845,1059,large,cornflowerblue
490,1580,820,1011,1136,xxl,blue
491,1584,557,758,967,medium,lightsteelblue
492,1670,648,814,928,large,cornflowerblue
493,1585,566,770,946,medium,lightsteelblue
494,1638,584,809,944,large,cornflowerblue
495,1589,599,817,1013,large,cornflowerblue
496,1659,785,938,1060,xl,royalblue
497,1550,654,845,1015,large,cornflowerblue
498,1730,838,995,1068,xl,royalblue
499,1500,644,907,1074,xl,royalblue
500,1615,809,983,1062,xl,royalblue
501,1645,677,801,1042,large,cornflowerblue
502,1727,847,1029,1096,xxl,blue
503,1667,781,1052,1096,xxl,blue
504,1519,552,848,901,large,cornflowerblue
505,1700,832,955,1054,xl,royalblue
506,1628,694,807,1069,large,cornflowerblue
507,1600,786,855,1102,large,cornflowerblue
508,1747,851,969,1082,xl,royalblue
